ChallengeID,ChallengeName,Korean,CompletedFlag
1,Pitch Black,칠흑의 어둠,1
2,High Brow,고상한 취향,1
3,Head Trauma,뇌진탕,1
4,Darkness Falls,어둠이 내려온다,1
5,The Tank,탱크,1
6,Solar System,태양계,1
7,Suicide King,자살 왕,1
8,Cat Got Your Tongue,혀를 훔친 고양이,1
9,Demo Man,폭파 전문가,1
10,Cursed!,저주받았다!,1
11,Glass Cannon,유리 대포,1
12,When Life Gives You Lemons,인생이 레몬을 줄 때,1
13,BEANS!,콩!,1
14,Its In The Cards,카드에 달렸다,1
15,Slow Roll,느린 굴림,1
16,Computer Savy,컴퓨터 달인,1
17,WAKA WAKA,와카 와카,1
18,The Host,숙주,1
19,The Family Man,가장,1
20,Purist,순수주의자,1
21,XXXXXXXXL,초대형 사이즈,1
22,SPEED!,스피드!,1
23,Blue Bomber,블루 폭격기,1
24,PAY TO PLAY,돈 내고 즐겨라,1
25,Have A Heart,하트를 챙겨라,1
26,I RULE!,내가 짱이다!,1
27,BRAINS!,뇌를 내놔!,1
28,PRIDE DAY!,프라이드의 날!,1
29,Onan's Streak,오난의 연속,1
30,The Guardian,수호자,1
31,Backasswards,거꾸로 진행,1
32,Aprils Fool,만우절,1
33,Pokey Mans,포키 맨즈,1
34,Ultra Hard,극악 난이도,1
35,Pong,퐁,1
36,Scat Man,똥쟁이,1
37,Bloody Mary,블러디 메리,1
38,Baptism by Fire,불의 세례,1
39,Isaac's Awakening,아이작의 각성,1
40,Seeing Double,두 배로 보인다,1
41,Pica Run,이식증 달리기,1
42,Hot Potato,뜨거운 감자,1
43,Cantripped!,캔트립!,1
44,Red Redemption,붉은 구원,1
45,DELETE THIS,이걸 삭제해,1
