CharacterIndex,CharacterName,Korean,MarkIndex,MarkName,Value(0/2)
0,Isaac,아이작,0,Isaac's Heart,22
0,Isaac,아이작,1,Isaac,22
0,Isaac,아이작,2,Satan,4
0,Isaac,아이작,3,Boss Rush,4
0,Isaac,아이작,4,Chest,4
0,Isaac,아이작,5,Dark Room,4
0,Isaac,아이작,6,Mega Satan,4
0,Isaac,아이작,7,Hush,4
0,Isaac,아이작,8,Greed,4
0,Isaac,아이작,9,Delirium,4
0,Isaac,아이작,10,Mother,4
0,Isaac,아이작,11,Beast,4
1,Maggy,막달레나,0,Isaac's Heart,4
1,Maggy,막달레나,1,Isaac,4
1,Maggy,막달레나,2,Satan,4
1,Maggy,막달레나,3,Boss Rush,4
1,Maggy,막달레나,4,Chest,4
1,Maggy,막달레나,5,Dark Room,26
1,Maggy,막달레나,6,Mega Satan,4
1,Maggy,막달레나,7,Hush,7
1,Maggy,막달레나,8,Greed,4
1,Maggy,막달레나,9,Delirium,4
1,Maggy,막달레나,10,Mother,4
1,Maggy,막달레나,11,Beast,4
2,Cain,카인,0,Isaac's Heart,4
2,Cain,카인,1,Isaac,4
2,Cain,카인,2,Satan,4
2,Cain,카인,3,Boss Rush,4
2,Cain,카인,4,Chest,4
2,Cain,카인,5,Dark Room,4
2,Cain,카인,6,Mega Satan,4
2,Cain,카인,7,Hush,4
2,Cain,카인,8,Greed,4
2,Cain,카인,9,Delirium,4
2,Cain,카인,10,Mother,4
2,Cain,카인,11,Beast,4
3,Judas,유다,0,Isaac's Heart,4
3,Judas,유다,1,Isaac,4
3,Judas,유다,2,Satan,4
3,Judas,유다,3,Boss Rush,4
3,Judas,유다,4,Chest,4
3,Judas,유다,5,Dark Room,4
3,Judas,유다,6,Mega Satan,4
3,Judas,유다,7,Hush,15
3,Judas,유다,8,Greed,4
3,Judas,유다,9,Delirium,4
3,Judas,유다,10,Mother,4
3,Judas,유다,11,Beast,4
4,???,???,0,Isaac's Heart,4
4,???,???,1,Isaac,4
4,???,???,2,Satan,4
4,???,???,3,Boss Rush,4
4,???,???,4,Chest,4
4,???,???,5,Dark Room,4
4,???,???,6,Mega Satan,4
4,???,???,7,Hush,3
4,???,???,8,Greed,4
4,???,???,9,Delirium,4
4,???,???,10,Mother,4
4,???,???,11,Beast,4
5,Eve,이브,0,Isaac's Heart,2
5,Eve,이브,1,Isaac,2
5,Eve,이브,2,Satan,2
5,Eve,이브,3,Boss Rush,2
5,Eve,이브,4,Chest,2
5,Eve,이브,5,Dark Room,4
5,Eve,이브,6,Mega Satan,2
5,Eve,이브,7,Hush,3
5,Eve,이브,8,Greed,2
5,Eve,이브,9,Delirium,2
5,Eve,이브,10,Mother,2
5,Eve,이브,11,Beast,2
6,Samson,삼손,0,Isaac's Heart,2
6,Samson,삼손,1,Isaac,2
6,Samson,삼손,2,Satan,2
6,Samson,삼손,3,Boss Rush,2
6,Samson,삼손,4,Chest,2
6,Samson,삼손,5,Dark Room,2
6,Samson,삼손,6,Mega Satan,2
6,Samson,삼손,7,Hush,3
6,Samson,삼손,8,Greed,2
6,Samson,삼손,9,Delirium,2
6,Samson,삼손,10,Mother,2
6,Samson,삼손,11,Beast,2
7,Azazel,아자젤,0,Isaac's Heart,15
7,Azazel,아자젤,1,Isaac,15
7,Azazel,아자젤,2,Satan,3
7,Azazel,아자젤,3,Boss Rush,4
7,Azazel,아자젤,4,Chest,15
7,Azazel,아자젤,5,Dark Room,3
7,Azazel,아자젤,6,Mega Satan,2
7,Azazel,아자젤,7,Hush,3
7,Azazel,아자젤,8,Greed,15
7,Azazel,아자젤,9,Delirium,15
7,Azazel,아자젤,10,Mother,15
7,Azazel,아자젤,11,Beast,2
8,Lazarus,나사로,0,Isaac's Heart,4
8,Lazarus,나사로,1,Isaac,4
8,Lazarus,나사로,2,Satan,4
8,Lazarus,나사로,3,Boss Rush,2
8,Lazarus,나사로,4,Chest,4
8,Lazarus,나사로,5,Dark Room,4
8,Lazarus,나사로,6,Mega Satan,2
8,Lazarus,나사로,7,Hush,3
8,Lazarus,나사로,8,Greed,2
8,Lazarus,나사로,9,Delirium,2
8,Lazarus,나사로,10,Mother,2
8,Lazarus,나사로,11,Beast,7
9,Eden,에덴,0,Isaac's Heart,4
9,Eden,에덴,1,Isaac,2
9,Eden,에덴,2,Satan,2
9,Eden,에덴,3,Boss Rush,2
9,Eden,에덴,4,Chest,2
9,Eden,에덴,5,Dark Room,2
9,Eden,에덴,6,Mega Satan,2
9,Eden,에덴,7,Hush,3
9,Eden,에덴,8,Greed,2
9,Eden,에덴,9,Delirium,2
9,Eden,에덴,10,Mother,4
9,Eden,에덴,11,Beast,2
10,The Lost,로스트,0,Isaac's Heart,7
10,The Lost,로스트,1,Isaac,4
10,The Lost,로스트,2,Satan,4
10,The Lost,로스트,3,Boss Rush,4
10,The Lost,로스트,4,Chest,4
10,The Lost,로스트,5,Dark Room,4
10,The Lost,로스트,6,Mega Satan,4
10,The Lost,로스트,7,Hush,4
10,The Lost,로스트,8,Greed,4
10,The Lost,로스트,9,Delirium,4
10,The Lost,로스트,10,Mother,4
10,The Lost,로스트,11,Beast,4
11,Lilith,릴리스,0,Isaac's Heart,4
11,Lilith,릴리스,1,Isaac,4
11,Lilith,릴리스,2,Satan,2
11,Lilith,릴리스,3,Boss Rush,2
11,Lilith,릴리스,4,Chest,4
11,Lilith,릴리스,5,Dark Room,2
11,Lilith,릴리스,6,Mega Satan,2
11,Lilith,릴리스,7,Hush,3
11,Lilith,릴리스,8,Greed,2
11,Lilith,릴리스,9,Delirium,4
11,Lilith,릴리스,10,Mother,2
11,Lilith,릴리스,11,Beast,2
12,Keeper,키퍼,0,Isaac's Heart,4
12,Keeper,키퍼,1,Isaac,4
12,Keeper,키퍼,2,Satan,4
12,Keeper,키퍼,3,Boss Rush,4
12,Keeper,키퍼,4,Chest,4
12,Keeper,키퍼,5,Dark Room,4
12,Keeper,키퍼,6,Mega Satan,4
12,Keeper,키퍼,7,Hush,4
12,Keeper,키퍼,8,Greed,4
12,Keeper,키퍼,9,Delirium,4
12,Keeper,키퍼,10,Mother,4
12,Keeper,키퍼,11,Beast,4
13,Apollyon,아폴리온,0,Isaac's Heart,15
13,Apollyon,아폴리온,1,Isaac,2
13,Apollyon,아폴리온,2,Satan,15
13,Apollyon,아폴리온,3,Boss Rush,2
13,Apollyon,아폴리온,4,Chest,2
13,Apollyon,아폴리온,5,Dark Room,15
13,Apollyon,아폴리온,6,Mega Satan,2
13,Apollyon,아폴리온,7,Hush,15
13,Apollyon,아폴리온,8,Greed,2
13,Apollyon,아폴리온,9,Delirium,2
13,Apollyon,아폴리온,10,Mother,2
13,Apollyon,아폴리온,11,Beast,2
14,Forgotten,포가튼,0,Isaac's Heart,15
14,Forgotten,포가튼,1,Isaac,15
14,Forgotten,포가튼,2,Satan,15
14,Forgotten,포가튼,3,Boss Rush,2
14,Forgotten,포가튼,4,Chest,15
14,Forgotten,포가튼,5,Dark Room,15
14,Forgotten,포가튼,6,Mega Satan,15
14,Forgotten,포가튼,7,Hush,15
14,Forgotten,포가튼,8,Greed,4
14,Forgotten,포가튼,9,Delirium,15
14,Forgotten,포가튼,10,Mother,15
14,Forgotten,포가튼,11,Beast,15
15,Bethany,베서니,0,Isaac's Heart,4
15,Bethany,베서니,1,Isaac,4
15,Bethany,베서니,2,Satan,4
15,Bethany,베서니,3,Boss Rush,2
15,Bethany,베서니,4,Chest,4
15,Bethany,베서니,5,Dark Room,4
15,Bethany,베서니,6,Mega Satan,4
15,Bethany,베서니,7,Hush,2
15,Bethany,베서니,8,Greed,2
15,Bethany,베서니,9,Delirium,4
15,Bethany,베서니,10,Mother,2
15,Bethany,베서니,11,Beast,2
16,Jacob & Esau,야곱과 에사우,0,Isaac's Heart,15
16,Jacob & Esau,야곱과 에사우,1,Isaac,15
16,Jacob & Esau,야곱과 에사우,2,Satan,2
16,Jacob & Esau,야곱과 에사우,3,Boss Rush,15
16,Jacob & Esau,야곱과 에사우,4,Chest,15
16,Jacob & Esau,야곱과 에사우,5,Dark Room,2
16,Jacob & Esau,야곱과 에사우,6,Mega Satan,2
16,Jacob & Esau,야곱과 에사우,7,Hush,15
16,Jacob & Esau,야곱과 에사우,8,Greed,15
16,Jacob & Esau,야곱과 에사우,9,Delirium,15
16,Jacob & Esau,야곱과 에사우,10,Mother,2
16,Jacob & Esau,야곱과 에사우,11,Beast,2
17,T Isaac,,0,Isaac's Heart,15
17,T Isaac,,1,Isaac,15
17,T Isaac,,2,Satan,15
17,T Isaac,,3,Boss Rush,2
17,T Isaac,,4,Chest,15
17,T Isaac,,5,Dark Room,15
17,T Isaac,,6,Mega Satan,2
