ItemID,ItemName,Korean,UnlockedFlag,Type,Quality
1,The Sad Onion,슬픈 양파,1,Passive,3
2,The Inner Eye,내면의 눈,1,Passive,3
3,Spoon Bender,초능력자,1,Passive,3
4,Cricket's Head,크리켓의 머리,1,Passive,4
5,My Reflection,나의 모습,1,Passive,2
6,Number One,오줌싸개,1,Passive,2
7,Blood of the Martyr,순교자의 피,1,Passive,3
8,Brother Bobby,보비,1,Passive,1
9,Skatole,스카톨,1,Passive,0
10,Halo of Flies,파리떼,1,Passive,2
11,1up!,,1,Passive,2
12,Magic Mushroom,마법의 버섯,1,Passive,4
13,The Virus,바이러스,1,Passive,2
14,Roid Rage,불량 스테로이드,1,Passive,2
15,<3,♡,1,Passive,2
16,Raw Liver,생간,1,Passive,2
17,Skeleton Key,해골 열쇠,1,Passive,2
18,A Dollar,달러,1,Passive,3
19,Boom!,꽈광!,1,Passive,0
20,Transcendence,초월,1,Passive,2
21,The Compass,나침반,1,Passive,1
22,Lunch,점심밥,1,Passive,1
23,Dinner,저녁밥,1,Passive,1
24,Dessert,간식,1,Passive,1
25,Breakfast,아침밥,1,Passive,1
26,Rotten Meat,썩은 고기,1,Passive,1
27,Wooden Spoon,나무 숟가락,1,Passive,1
28,The Belt,벨트,1,Passive,1
29,Mom's Underwear,엄마의 속옷,1,Passive,1
30,Mom's Heels,엄마의 하이힐,1,Passive,1
31,Mom's Lipstick,엄마의 립스틱,1,Passive,1
32,Wire Coat Hanger,철제 옷걸이,1,Passive,3
33,The Bible,성경,1,Active,1
34,The Book of Belial,벨리알의 책,1,Active,2
35,The Necronomicon,네크로노미콘,1,Active,0
36,The Poop,똥,1,Active,0
37,Mr. Boom,미스터 붐,1,Active,1
38,Tammy's Head,태미의 머리,1,Active,1
39,Mom's Bra,엄마의 브래지어,1,Active,0
40,Kamikaze!,카미카제!,1,Active,0
41,Mom's Pad,엄마의 패드,1,Active,0
42,Bob's Rotten Head,밥의 썩은 머리통,1,Active,1
44,Teleport!,순간이동!,1,Active,0
45,Yum Heart,맛난 하트,1,Active,1
46,Lucky Foot,행운의 발,1,Passive,2
47,Doctor's Remote,박사의 원격 조종기,1,Active,1
48,Cupid's Arrow,큐피드의 화살,1,Passive,2
49,Shoop Da Whoop!,모두 다 사라져빔!!,1,Active,2
50,Steven,스티븐,1,Passive,3
51,Pentagram,오망성,1,Passive,3
52,Dr. Fetus,태아 박사,1,Passive,4
53,Magneto,자석,1,Passive,1
54,Treasure Map,보물 지도,1,Passive,1
55,Mom's Eye,엄마의 눈알,1,Passive,1
56,Lemon Mishap,레몬빛 실수,1,Active,0
57,Distant Admiration,짝사랑,1,Passive,2
58,Book of Shadows,그림자의 책,1,Active,3
60,The Ladder,사다리,1,Passive,1
62,Charm of the Vampire,뱀파이어의 부적,1,Passive,2
63,The Battery,건전지,1,Passive,2
64,Steam Sale,스팀 세일,1,Passive,2
65,Anarchist Cookbook,무정부주의자의 요리책,1,Active,0
66,The Hourglass,모래시계,1,Active,0
67,Sister Maggy,매기,1,Passive,1
68,Technology,기계장치,1,Passive,3
69,Chocolate Milk,초콜릿 우유,1,Passive,3
70,Growth Hormones,성장 호르몬,1,Passive,3
71,Mini Mush,미니 버섯,1,Passive,2
72,Rosary,묵주,1,Passive,2
73,Cube of Meat,고기조각,1,Passive,1
74,A Quarter,쿼터,1,Passive,0
75,PHD,박사학위,1,Passive,2
76,X-Ray Vision,투시 안경,1,Passive,2
77,My Little Unicorn,나의 작은 유니콘,1,Active,1
78,Book of Revelations,요한묵시록,1,Active,3
79,The Mark,낙인,1,Passive,3
80,The Pact,계약,1,Passive,3
81,Dead Cat,죽은 고양이,1,Passive,3
82,Lord of the Pit,구덩이의 제왕,1,Passive,3
83,The Nail,대못,1,Active,2
84,We Need to Go Deeper!,더 깊이 내려가야 해!,1,Active,2
85,Deck of Cards,카드 덱,1,Active,2
86,Monstro's Tooth,몬스트로의 이빨,1,Active,0
87,Loki's Horns,로키의 뿔,1,Passive,1
88,Little Chubby,리틀 처비,1,Passive,1
89,Spider Bite,거미물림,1,Passive,2
90,The Small Rock,작은 돌,1,Passive,3
91,Spelunker Hat,탐험가 모자,1,Passive,2
92,Super Bandage,슈퍼 밴디지,1,Passive,2
93,The Gamekid,게임키드,1,Active,1
94,Sack of Pennies,동전 주머니,1,Passive,1
95,Robo-Baby,로보베이비,1,Passive,1
96,Little C.H.A.D.,리틀 차드,1,Passive,2
97,The Book of Sin,죄악의 책,1,Active,1
98,The Relic,성유물,1,Passive,3
99,Little Gish,리틀 기쉬,1,Passive,1
100,Little Steven,리틀 스티븐,1,Passive,2
101,The Halo,광륜,1,Passive,3
102,Mom's Bottle of Pills,엄마의 약병,1,Active,1
103,The Common Cold,감기,1,Passive,1
104,The Parasite,기생충,1,Passive,3
105,The D6,주사위,1,Active,4
106,Mr. Mega,미스터 메가,1,Passive,2
107,The Pinking Shears,핑킹 가위,1,Active,2
108,The Wafer,제병,1,Passive,4
109,Money = Power,돈 = 힘,1,Passive,3
110,Mom's Contacts,엄마의 콘텍트렌즈,1,Passive,3
111,The Bean,콩,1,Active,0
112,Guardian Angel,수호천사,1,Passive,1
113,Demon Baby,악마 아기,1,Passive,1
114,Mom's Knife,엄마의 식칼,1,Passive,4
115,Ouija Board,분신사바,1,Passive,2
116,9 Volt,9볼트 건전지,1,Passive,2
117,Dead Bird,죽은 새,1,Passive,0
118,Brimstone,유황,1,Passive,4
119,Blood Bag,혈액 팩,1,Passive,2
120,Odd Mushroom,이상한 버섯,1,Passive,2
121,Odd Mushroom,이상한 버섯,1,Passive,2
122,Whore of Babylon,바빌론의 창녀,1,Passive,2
123,Monster Manual,몬스터 도감,1,Active,1
124,Dead Sea Scrolls,사해사본,1,Active,1
125,Bobby-Bomb,보비 폭탄,1,Passive,1
126,Razor Blade,면도날,1,Active,0
127,Forget Me Now,날 잊어 주세요,1,Active,3
128,Forever Alone,영원한 솔로,1,Passive,1
129,Bucket of Lard,돼지기름 한 통,1,Passive,1
130,A Pony,조랑말,1,Active,2
131,Bomb Bag,폭탄 주머니,1,Passive,1
132,A Lump of Coal,석탄 한 덩이,1,Passive,3
133,Guppy's Paw,구피의 발,1,Active,3
134,Guppy's Tail,구피의 꼬리,1,Passive,2
135,IV Bag,수혈 팩,1,Active,2
136,Best Friend,최고의 친구,1,Active,0
137,Remote Detonator,원격 폭파기,1,Active,0
138,Stigmata,성흔,1,Passive,2
139,Mom's Purse,엄마의 지갑,1,Passive,2
140,Bob's Curse,밥의 저주,1,Passive,1
141,Pageant Boy,분장 소년,1,Passive,0
142,Scapular,성의,1,Passive,2
143,Speed Ball,스피드볼 마약,1,Passive,2
144,Bum Friend,거지 친구,1,Passive,1
145,Guppy's Head,구피의 머리,1,Active,2
146,Prayer Card,기도 카드,1,Active,3
147,Notched Axe,각진 곡괭이,1,Active,1
148,Infestation,감염,1,Passive,0
149,Ipecac,구토제,1,Passive,4
150,Tough Love,사랑의 매,1,Passive,3
151,The Mulligan,물리건,1,Passive,3
152,Technology 2,기계장치 2,1,Passive,2
153,Mutant Spider,돌연변이 거미,1,Passive,3
154,Chemical Peel,화학 박피제,1,Passive,2
155,The Peeper,엿보기 눈깔,1,Passive,2
156,Habit,수녀복,1,Passive,2
157,Bloody Lust,피의 욕망,1,Passive,2
158,Crystal Ball,수정구슬,1,Active,3
159,Spirit of the Night,밤의 영혼,1,Passive,3
160,Crack the Sky,하늘을 가르다,1,Active,1
161,Ankh,앙크,1,Passive,0
162,Celtic Cross,켈트 십자가,1,Passive,1
163,Ghost Baby,유령 아기,1,Passive,1
164,The Candle,양초,1,Active,2
165,Cat-O-Nine-Tails,아홉 가닥 채찍,1,Passive,3
166,D20,20면 주사위,1,Active,2
167,Harlequin Baby,할리퀸 아기,1,Passive,1
168,Epic Fetus,쩌는 태아,1,Passive,4
169,Polyphemus,폴리페무스,1,Passive,4
170,Daddy Longlegs,장님거미,1,Passive,3
171,Spider Butt,거미 엉덩이,1,Active,1
172,Sacrificial Dagger,희생의 단도,1,Passive,2
173,Mitre,주교관,1,Passive,3
174,Rainbow Baby,무지개 아기,1,Passive,1
175,Dad's Key,아빠의 열쇠,1,Active,2
176,Stem Cells,줄기세포,1,Passive,1
177,Portable Slot,휴대용 슬롯머신,1,Active,0
178,Holy Water,성수,1,Passive,3
179,Fate,운명,1,Passive,3
180,The Black Bean,검은 콩,1,Passive,0
181,White Pony,하얀 조랑말,1,Active,3
182,Sacred Heart,성스러운 심장,1,Passive,4
183,Tooth Picks,이쑤시개,1,Passive,3
184,Holy Grail,신성한 성배,1,Passive,3
185,Dead Dove,죽은 비둘기,1,Passive,3
186,Blood Rights,피의 권리,1,Active,0
187,Guppy's Hair Ball,구피의 털뭉치,1,Passive,1
188,Abel,아벨,1,Passive,0
189,SMB Super Fan,슈미보 광팬,1,Passive,3
190,Pyro,폭탄마,1,Passive,3
191,3 Dollar Bill,3달러 지폐,1,Passive,2
192,Telepathy for Dummies,천재반을 위한 텔레파시법,1,Active,1
193,MEAT!,고기!,1,Passive,2
194,Magic 8 Ball,마법의 8번 공,1,Passive,1
195,Mom's Coin Purse,엄마의 동전 지갑,1,Passive,0
196,Squeezy,쥐어짜기 장난감,1,Passive,3
197,Jesus Juice,예수 주스,1,Passive,2
198,Box,상자,1,Passive,0
199,Mom's Key,엄마의 열쇠,1,Passive,3
200,Mom's Eyeshadow,엄마의 아이섀도우,1,Passive,1
201,Iron Bar,철괴,1,Passive,2
202,Midas' Touch,미다스의 손길,1,Passive,1
203,Humbleing Bundle,험블 번들,1,Passive,3
204,Fanny Pack,주머니 가방,1,Passive,1
205,Sharp Plug,날카로운 플러그,1,Passive,2
206,Guillotine,단두대,1,Passive,0
207,Ball of Bandages,밴드 덩어리,1,Passive,1
208,Champion Belt,챔피언 벨트,1,Passive,3
209,Butt Bombs,궁둥이 폭탄,1,Passive,1
210,Gnawed Leaf,갉아먹힌 나뭇잎,1,Passive,1
211,Spiderbaby,새끼 거미,1,Passive,0
212,Guppy's Collar,구피의 목걸이,1,Passive,1
213,Lost Contact,잃어버린 렌즈,1,Passive,2
