SecretID,SecretName,UnlockName,Type,Korean,bul,cs_cz,de,el_gr,en_us,fr,it,ja_jp,nl_nl,pl,pt,pt_br,ro_ro,ru,spa,tr_tr,uk_ua,vi,zh_cn,UnlockedFlag
1,Magdalene,Magdalene,Character,막달레나,Magdalene,Magdalene,Magdalene,Magdalene,Magdalene,Marie,Magdalene,Magdalene,Magdalene,Magdalena,Magdalene,Magdalene,Magdalene,Magdalene,Magdalena,Magdalene,Magdalene,Magdalene,Magdalene,1
2,Cain,Cain,Character,카인,Cain,Cain,Cain,Cain,Cain,Caïn,Cain,Cain,Cain,Kain,Cain,Cain,Cain,Cain,Caín,Cain,Cain,Cain,Cain,1
3,Judas,Judas,Character,유다,Judas,Judas,Judas,Judas,Judas,Judas,Judas,Judas,Judas,Judasz,Judas,Judas,Judas,Judas,Judas,Judas,Judas,Judas,Judas,1
4,The Womb,Womb,Map,챕터4-자궁,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,Womb,1
5,The Harbingers,The Harbingers,Boss,4기사 등장,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,The Harbingers,1
6,A Cube of Meat,"Cube of Meat, Ball of Bandages",Item,"고기조각, 밴디지 걸",Куб от месо,XVII - Hvězda?,XVII - Die Sterne?,Κύβος κρέατος,Cube of Meat,Cube de Viande,Cubo di Carne,XVII - 星？,Kubus van vlees,Kostka Mięsa,Cube of Meat,Cube of Meat,Un Cub de Carne,XVII - Звёзды?,Cubo de carne,XVII - Yıldızlar?,Кубик м'яса,XVII - The Stars?,肉块,1
7,The Book of Revelations,Book of Revelations,Item,요한묵시록,Книга на откровенията,Kniha Zjevení,Buch der Offenbarung,Βιβλίο των Αποκαλύψεων,Book of Revelations,Livre de la Révélation,Libro dell'Apocalisse,ヨハネの黙示録,Boek van Openbaringen,Księga Objawień,Book of Revelations,Book of Revelations,Cartea Revelațiilor,Книга Откровений,Libro de Revelaciones,Kırık Anahtar,Книга Одкровень,Book of Revelations,启示录,1
8,A Noose,Transcendence,Item,초월,Възнасяне,XIX - Slunce,XIX - Die Sonne,Υπέρβαση,Transcendence,Transcendance,Trascendenza,XIX - 太陽,Transcendentie,Transcendencja,Transcendence,Transcendence,Transcendență,Энергия на 48 часов,Trascendencia,48 Saatlik Enerji!,Трансцендентність,XIX - The Sun,超凡升天,1
9,The Nail,The Nail,Item,대못,Пиронът,Hřebík,Der Nagel,Το Καρφί,The Nail,Clou Pointu,Il Chiodo,釘,The spijker,Gwóźdź,The Nail,The Nail,Cuiul,Гвоздь,El clavo,Çivi,Цвях,The Nail,钉子,1
10,A Quarter,A Quarter,Item,쿼터,Монета от 25 стотинки,XVIII - Měsíc?,XVIII - Der Mond?,Εικοσιπεντάρα,A Quarter,Une Petite Pièce,Un Quarto,XVIII - 月？,Een Kwart,Ćwierćdolarówka,A Quarter,A Quarter,Un Sfert,XVIII - Луна?,Un cuarto,XVIII - Ay?,Четвертак,XVIII - The Moon?,25美分,1
